"Annual_measure","SD_of_measure","Use1_0","Name","Units","Description","Region","Time_period","Source"
NA,NA,0,"Obs_omni_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_omnivzoo_depth_av_conc","","",""
NA,NA,0,"Obs_phyt_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_phyt_surface_layer_conc","","",""
NA,NA,0,"Obs_nit_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_nitrate_surface_layer_conc","","",""
NA,NA,0,"Obs_amm_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_ammonia_surface_layer_conc","","",""
NA,NA,0,"Obs_pfish_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_planktivorous_fish_density_per_m2","","",""
NA,NA,0,"Obs_dfish_io_ratio","dimensionless","Inshore_offshore_ratio_of_annual_mean_demersal_fish_density_per_m2","","",""
7.195863e-05,2.737158e-05,1,"Obs_birddisc","mMN/m2/y","Annual_bycatch_of_birds","2006-2015","Norwegian coast","Bærum et al. 2019"
0.0003925025,4.632512e-05,1,"Obs_sealdisc","mMN/m2/y","Annual_bycatch_of_pinnipeds","2006 – 2015","Norwegian coast","Moan_2016"
0.000392721,3.927212e-05,1,"Obs_cetadisc","mMN/m2/y","Annual_bycatch_of_cetaceans","2006 – 2015","Norwegian coast","Moan_2016"
0.15,0.05,1,"Obs_kelp_beachcast","dimensionless","Proportion_of_macrophyte_annual_nitrogen_uptake_exported_as_beachcast","New_Zealand","General","Zemke_White_et_al_2005"
0.000957572,0.000191514,1,"Obs_Ctland_livewt","mMN/m2/y","Obs_cetacean_landings_by_whale_hunters","","",""
